住宅價格月指數類別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價,標準住宅單價
全市公寓,98.93 ,0,0.00 ,0,0,0,1281.00 ,42.68 
全市公寓,98.93 ,0.00 ,0.00 ,0.0001,0,0,1281.00 ,42.69 
全市公寓,98.47 ,98.78 ,0.00 ,-0.0047,0,0,1275.00 ,42.49 
全市公寓,98.01 ,98.47 ,0.00 ,-0.0047,-0.0031,0,1269.00 ,42.29 
全市公寓,99.13 ,98.54 ,0.00 ,0.0114,0.0007,0,1283.00 ,42.77 
全市公寓,97.39 ,98.18 ,98.48 ,-0.0175,-0.0037,0,1261.00 ,42.02 
全市公寓,96.50 ,97.67 ,98.07 ,-0.0091,-0.0051,-0.0041,1249.00 ,41.64 
全市公寓,101.90 ,98.60 ,98.57 ,0.0559,0.0095,0.005,1319.00 ,43.97 
全市公寓,105.20 ,101.20 ,99.69 ,0.0324,0.0264,0.0114,1362.00 ,45.39 
全市公寓,104.59 ,103.90 ,100.79 ,-0.0058,0.0266,0.011,1354.00 ,45.13 
全市公寓,104.64 ,104.81 ,101.70 ,0.0005,0.0088,0.0091,1354.00 ,45.15 
全市公寓,107.24 ,105.49 ,103.34 ,0.0248,0.0065,0.0161,1388.00 ,46.27 
全市公寓,108.02 ,106.63 ,105.26 ,0.0073,0.0108,0.0186,1398.00 ,46.61 
全市公寓,108.70 ,107.99 ,106.40 ,0.0062,0.0127,0.0108,1407.00 ,46.90 
全市公寓,109.88 ,108.87 ,107.18 ,0.0108,0.0081,0.0073,1422.00 ,47.41 
全市公寓,109.05 ,109.21 ,107.92 ,-0.0075,0.0031,0.0069,1412.00 ,47.05 
全市公寓,108.56 ,109.16 ,108.57 ,-0.0044,-0.0004,0.0061,1405.00 ,46.84 
全市公寓,111.93 ,109.85 ,109.36 ,0.031,0.0063,0.0072,1449.00 ,48.29 
全市公寓,111.39 ,110.63 ,109.92 ,-0.0047,0.0071,0.0051,1442.00 ,48.06 
全市公寓,111.19 ,111.50 ,110.33 ,-0.0019,0.0079,0.0038,1439.00 ,47.97 
全市公寓,112.43 ,111.67 ,110.76 ,0.0111,0.0015,0.0039,1455.00 ,48.51 
全市公寓,114.64 ,112.75 ,111.69 ,0.0197,0.0097,0.0084,1484.00 ,49.46 
全市公寓,109.76 ,112.27 ,111.89 ,-0.0426,-0.0042,0.0018,1421.00 ,47.36 
全市公寓,109.65 ,111.35 ,111.51 ,-0.001,-0.0083,-0.0034,1419.00 ,47.31 
全市公寓,108.51 ,109.31 ,111.03 ,-0.0103,-0.0183,-0.0043,1405.00 ,46.82 
全市公寓,108.52 ,108.89 ,110.58 ,0,-0.0038,-0.004,1405.00 ,46.82 
全市公寓,109.53 ,108.85 ,110.10 ,0.0094,-0.0003,-0.0044,1418.00 ,47.26 
全市公寓,109.42 ,109.16 ,109.23 ,-0.001,0.0028,-0.0079,1416.00 ,47.21 
全市公寓,109.54 ,109.50 ,109.19 ,0.0011,0.0031,-0.0003,1418.00 ,47.26 
全市公寓,109.55 ,109.50 ,109.18 ,0.0001,0.0001,-0.0001,1418.00 ,47.27 
全市公寓,111.39 ,110.16 ,109.66 ,0.0168,0.006,0.0044,1442.00 ,48.06 
全市公寓,108.54 ,109.83 ,109.66 ,-0.0255,-0.003,0,1405.00 ,46.83 
全市公寓,107.01 ,108.98 ,109.24 ,-0.0141,-0.0077,-0.0038,1385.00 ,46.17 
